0.0	0.03	0.65	0	Said Hassan Ahmed compared to Jagdish Chandra Patra
0.67	0.61	0.93	1	Marcelino Bicho Dos Santos compared to Marcelino B. Santos
0.0	0.0	0.4	0	Stephen Fung compared to Andrew E. Smith
0.0	0.0	0.48	0	Patrice Caire compared to Kohtaro Ohba
0.0	0.0	0.46	0	Geleyn R. Meijer compared to Vittorio Dante
0.0	0.03	0.52	0	Andrew Thangaraj compared to Samphan Phrompichai
1.0	0.7	0.94	1	Detlef Sass compared to Detlef Saß
0.0	0.0	0.41	0	Johannes Hanika compared to R. Thompson
0.33	0.06	0.7	0	John D. Kanellopoulos compared to Joanna Golinska-Pilarek
0.0	0.0	0.4	0	Reza Sherafat Kazemzadeh compared to Bo Xiao
0.0	0.0	0.41	0	Gautam Hazari compared to István Juhos
0.5	0.64	0.91	1	Alex Aussem compared to Alexandre Aussem
1.0	0.69	0.97	1	Sérgio Soares compared to Sérgio C. B. Soares
0.75	0.72	0.97	1	Willem P. de Roever compared to Willem-Paul de Roever
0.0	0.04	0.46	0	Sang-Heon Lee compared to Alexander V. Mitin
0.0	0.0	0.36	0	Wouter Van Steenbergen compared to Kamel Jedidi
0.0	0.1	0.63	0	Florian Lautenbacher compared to Katsunori Tanaka
0.0	0.04	0.47	0	Jean-Michel Friedt compared to George Adam
1.0	0.61	0.88	1	Marius-Calin Silaghi compared to Marius Silaghi
0.0	0.0	0.46	0	Saurabh Ray compared to Tsung-Lin Lee
0.0	0.0	0.49	0	Yoshifumi Nishio compared to Huynh Phung Huynh
1.0	0.84	0.97	1	Vincent John Mooney III compared to Vincent John Mooney
0.5	0.57	0.9	1	Jeffrey T. Draper compared to Jeff Draper
1.33	0.67	0.94	1	Xavier Alamán compared to Xavier Alamán Roldán
1.0	0.67	0.94	1	Gabriel Jiménez compared to Gabriel Jiménez-Moreno
1.0	0.7	0.98	1	Petri Helo compared to Petri T. Helo
1.0	0.56	0.95	1	Ronny Meir compared to Ron Meir
0.0	0.0	0.3	0	Weihua Zhou compared to Paul Karänke
0.33	0.0	0.46	0	D. Gonçalves compared to C. T. Clarke
1.0	0.8	0.99	1	Abraham Flaxman compared to Abraham D. Flaxman
0.0	0.0	0.43	0	Ludovic Denoyer compared to Thomas Greutmann
1.0	0.67	0.94	1	Gabriel Jiménez compared to Gabriel Jiménez-Moreno
0.0	0.0	0.48	0	Steven Seida compared to Jean-Loup Baer
0.0	0.0	0.29	0	Abdülhakim Ünlü compared to Yongho Lee
1.0	0.79	0.99	1	Robert D. Stevens compared to Robert Stevens
1.0	0.88	0.98	1	Eugenia Ternovskaia compared to Eugenia Ternovska
0.0	0.04	0.43	0	Luis A. Cisternas compared to Ragnar Schierholz
0.0	0.04	0.53	0	Juan Carlos Peris compared to Guzmán Santafé
0.0	0.05	0.39	0	Han-Yang You compared to Yoshihide Yamada
0.0	0.0	0.52	0	Valérie Gay compared to M. Zimmermann
0.0	0.06	0.53	0	Roberto Santana Tapia compared to Catherine M. Harmonosky
